tweet_id,User,Date Created,Number of Likes,Source of Tweet,Tweet
59,Jeffrey Yass is an ASSholeo,2022-12-11 16:04:25+00:00,0,Twitter for iPhone,"RT @RealJDenton: TikTok is a national security threat. 

It is a tool used by the CCP to commit espionage and conduct psychological operati…"
60,ThatsSuSFishy💙,2022-12-11 16:04:24+00:00,0,Twitter for Android,RT @Out5p0ken: Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to secure Paul Whel…
61,Kimberly Klug ✨,2022-12-11 16:04:23+00:00,0,Twitter for iPhone,RT @RogerJStoneJr: Describe the Biden Administration in one word.
62,Elise,2022-12-11 16:04:22+00:00,0,Twitter for iPhone,RT @RNCResearch: Karine Jean-Pierre denies the Biden administration was involved in Twitter's efforts to censor conservative voices https:/…
63,Mani Gotupe,2022-12-11 16:04:12+00:00,1,Twitter for Android,"@julie_kelly2 @hodgetwins ""prevent, hinder and delay the execution of laws of the US"". Isn't that what the Biden ad… https://t.co/3TzrfuymJf"
64,April,2022-12-11 16:04:08+00:00,0,Twitter for iPhone,RT @TrueBlueResists: McConnell boasted that his entire goal would be to block Biden's administration. Hoping McConnell ends his career with…
65,Jaco Buitendag,2022-12-11 16:04:06+00:00,0,Twitter for Android,RT @LifeNewsToo: Pastor Slams Joe Biden on Abortion: “This is the Ungodliest Presidential Administration in History” https://t.co/Lmhw5TLIu…
66,pedroworldwidenews,2022-12-11 16:04:02+00:00,0,Twitter for Android,RT @LifeNewsHQ: Pastor Slams Joe Biden on Abortion: “This is the Ungodliest Presidential Administration in History” https://t.co/Iznw21GJXZ…
67,April,2022-12-11 16:03:57+00:00,0,Twitter for iPhone,"RT @WeHearPodcast: Has everyone really forgotten what Mitch McConnell said when Biden won? 

He said that he and his Senate were “100 perce…"
68,Angel Shey,2022-12-11 16:03:57+00:00,0,Twitter Web App,RT @RogerJStoneJr: Describe the Biden Administration in one word.
69,timothy burris,2022-12-11 16:03:57+00:00,0,Twitter Web App,"RT @mtaibbi: @ShellenbergerMD @bariweiss 6.     As soon as they finished banning Trump, Twitter execs started processing new power. They pr…"
70,blank,2022-12-11 16:03:44+00:00,0,Twitter for iPhone,RT @Out5p0ken: Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to secure Paul Whel…
71,Marlene Preuss,2022-12-11 16:03:44+00:00,0,Twitter for iPhone,"RT @EpochTimes: As the Biden administration is set to end the Trump-era #Title42 restriction on Dec. 21, US officials are bracing for a mas…"
72,Spurguy210,2022-12-11 16:03:44+00:00,0,Twitter for Android,"RT @JacobWindrix: @DonaldJTrumpJr Trump turned down Paul Whelan and Viktor Bout prisoner swap years ago, John Bolton says

Trump blasted th…"
73,♠ɿɘib|oꙄ ᴎwoᴎʞᴎU ɘʜT♠,2022-12-11 16:03:42+00:00,0,Twitter for Android,"RT @thehill: Pompeo slams Biden administration for trading ""bad guys for celebrities"" in Russian prisoner swap https://t.co/qZ7qVmgE99 http…"
74,Ivana Pavlovic,2022-12-11 16:03:41+00:00,0,Twitter for Android,"RT @jkishore: The “humanitarian” pretext for the Kosovo War was followed by the “responsibility to protect” doctrine, used to justify the U…"
75,This Tweeter Reader 💙 Blue America 🇺🇲🗽🇺🇦💉,2022-12-11 16:03:39+00:00,0,Twitter for Android,RT @Out5p0ken: Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to secure Paul Whel…
76,"Joann P. Reiki MT, UU, Amateur Photography. 🇺🇦",2022-12-11 16:03:38+00:00,0,Twitter for Android,RT @llofaith: @Tucsonbelle12 Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to se…
77,Jim Frank,2022-12-11 16:03:37+00:00,0,Twitter for iPad,RT @father_rmv: The court affirmed an earlier ruling that the federal government cannot force Catholic medical organizations to perform abo…
